Date,Type,Link
2022-01-08 16:24:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6884915805046358017
2021-12-05 17:55:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6869381381416390657
2021-12-05 14:33:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6873172978084016128
2021-12-05 04:00:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6871417647628656640
2021-12-04 18:15:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6870055995314376704
2021-12-02 03:52:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6868820208870559744
2021-11-29 19:43:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6871053661162770432
2021-11-27 14:11:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6870232312785747968
2021-11-27 11:22:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6868778585801420800
2021-11-27 11:20:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6870064386300493824
2021-11-27 11:19:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6868833677749567488
2021-11-27 02:55:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6855025180633292800
2021-11-26 17:16:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6869797167213760512
2021-11-26 08:17:04,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6868211803663462400
2021-11-24 16:05:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6869168653846241281
2021-11-24 14:24:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6868992468109680640
2021-11-24 14:23:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6869144480050757632
2021-11-23 14:36:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6868406441171144704
2021-11-20 16:17:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6866013179303075840
2021-11-19 20:01:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6867550300023119872
2021-11-18 18:10:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6867090546222002176
2021-11-18 14:50:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6867051962735636480
2021-11-18 14:15:02,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6867038035993772032
2021-11-18 03:49:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6866827681175019521
2021-11-17 10:00:23,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6866646992723030016
2021-11-17 10:00:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6866605635572760576
2021-11-17 06:55:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6866616219240398848
2021-11-17 06:27:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6866603183138058241
2021-11-16 18:14:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6866208197213007872
2021-11-16 18:10:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6863802194404130816
2021-11-16 13:19:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6865764426629296128
2021-11-12 07:07:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6864532198867951616
2021-11-12 07:02:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6860395020449648640
2021-11-11 16:38:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6863731906404503552
2021-11-11 16:37:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6860791527053017088
2021-11-11 16:36:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6864116881188552704
2021-11-11 11:50:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6859694550940827648
2021-11-11 11:49:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6861914763912380416
2021-11-11 11:45:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6862607868051378176
2021-10-30 12:30:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6855230869217587200
